 Cycle Period    Power(1)    Power(2)    Power(3)    Power(4)    Power(5)    Power(6)    Power(7)    Power(8)    Power(9)    Power(10)
   355     11     2.66191     2.66191     2.66191     2.57268     2.45867     2.66191     2.45867     2.66191     2.24056     2.66191
   355     12     2.58484     2.77483     2.24056     2.77483     2.69227     2.24056     2.24056     2.58484     2.58484     2.77483
   355     13     2.24056     2.58870     2.46954     2.58870     2.46954     2.46954     2.46954     2.24056     2.24056     2.68026
   356      7     0.80549     0.80549     0.80549     0.80549     0.48702     0.80549     0.80549     0.80549     0.80549     0.80549
   356      8     1.05502     1.05502     1.05502     0.70807     1.05502     1.05502     1.28757     1.05502     1.28757     1.28757
   356      9     1.59028     1.59028     1.59028     1.59028     1.74617     1.59028     1.74617     1.03514     1.59028     1.59028
   356     10     1.20767     1.20767     1.20767     1.20767     1.12028     1.20767     1.20767     1.20767     1.12028     1.20767
   356     11     1.87653     2.26548     2.33656     2.06598     2.06598     2.17465     2.33656     2.33656     1.87653     2.26548
   356     12     2.42330     2.15665     2.15665     2.15665     2.16889     2.42330     2.16889     2.16889     2.16889     2.15665
   356     13     2.38006     0.70807     2.38006     2.15533     2.17232     2.38006     2.17232     2.17232     2.17232     2.38006
   357      7     0.73871     0.73871     0.73871     0.73871     0.73871     0.73871     0.73871     0.73871     0.73871     0.73871
   357      8     1.15967     0.96976     0.96976     0.96976     0.96976     0.96976     0.96976     0.96976     0.96976     0.96976
   357      9     1.32428     1.43342     1.43342     1.43342     1.43342     1.43342     1.43342     1.43342     1.32428     0.00000
   357     10     1.83107     1.69051     1.76546     1.11780     1.69051     1.69051     1.11780     1.11780     1.11780     1.11780
   357     11     1.86886     1.86886     1.86886     1.71597     2.01662     1.86886     1.86886     1.86886     1.86886     1.51250
   357     12     2.09009     2.09009     2.09009     1.95693     2.14216     2.09009     2.09009     2.09009     2.09009     2.09009
   358      7     0.72631     0.72631     0.72631     0.72631     0.72631     0.72631     0.72631     0.72631     0.72631     0.72631
