--------------------------------------------------------------------------------------------------------------------
Turbine Test for Reduced number of cycles
Scenarios: 10
Turbines: 3
Time Limit: 172800
Max Gap: 0.05
-------------------------------------
Status: Unfinished
Profit = 119727
Gap: 72.2424 %
-------------------------------------
 Cycle Period    Power(1)   SoldDA(1)   SoldRT(1)    Power(2)   SoldDA(2)   SoldRT(2)    Power(3)   SoldDA(3)   SoldRT(3)    Power(4)   SoldDA(4)   SoldRT(4)    Power(5)   SoldDA(5)   SoldRT(5)    Power(6)   SoldDA(6)   SoldRT(6)    Power(7)   SoldDA(7)   SoldRT(7)    Power(8)   SoldDA(8)   SoldRT(8)    Power(9)   SoldDA(9)   SoldRT(9)    Power(10)   SoldDA(10)   SoldRT(10)
     6      5     0.35403     0.00000     0.17702     0.35403     0.00000     0.17702     0.35403     0.00000     0.17702     0.35403     0.17702     0.00000     0.35972     0.00000     0.17986     0.35972     0.00000     0.17986     0.35403     0.00000     0.17702     0.35403     0.09137     0.08565     0.35972     0.00000     0.17986     0.35403     0.06603     0.11099
     6      6     0.95878     0.39827     0.08112     0.95878     0.00000     0.47939     0.95878     0.47939     0.00000     0.95878     0.47939     0.00000     0.95878     0.00000     0.47939     0.95878     0.00000     0.47939     0.95878     0.00000     0.47939     0.95878     0.24744     0.23195     0.95878     0.17831     0.30108     1.22748     0.17881     0.43493
     6      7     1.89330     0.00000     0.94665     2.00298     0.14521     0.85628     2.00298     0.54508     0.45641     1.06210     0.53105     0.00000     2.09622     0.00000     1.04811     1.06210     0.00000     0.53105     2.00298     0.00000     1.00149     2.00298     0.22684     0.77465     1.06210     0.53105     0.00000     2.09622     0.08998     0.95813
     6      8     2.83013     0.05979     1.35527     2.83013     1.41506     0.00000     2.83013     1.41506     0.00000     2.68712     1.34356     0.00000     2.83013     1.39435     0.02071     2.83013     1.23226     0.18280     2.83013     0.34796     1.06711     2.83013     0.57390     0.84116     2.83013     1.41506    -0.00000     2.83013     0.22764     1.18742
     6      9     3.47206     0.00000     1.73603     3.47206     0.00000     1.73603     3.47206     1.71329     0.02274     3.47206     0.00000     1.73603     3.47206     0.00000     1.73603     3.47206     0.00000     1.73603     3.47206     0.57053     1.16550     3.36084     0.00000     1.68042     3.47206     1.73603     0.00000     3.47206     0.00000     1.73603
     6     10     3.55847     0.00000     1.77923     3.55847     0.00000     1.77923     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     3.55847     0.00000     1.77923     3.55847     0.00000     1.77923     3.55847     0.00000     1.77923     3.55847     0.00000     1.77923
     6     11     2.63344     1.07873     0.23799     1.99161     0.99581     0.00000     2.63344     1.31672     0.00000     2.63344     1.31672     0.00000     2.63344     0.99515     0.32157     2.63344     1.31672     0.00000     2.63344     0.94096     0.37576     2.63344     1.31672     0.00000     2.63344     1.11877     0.19795     4.14567     1.31303     0.75980
     6     12     3.30138     0.00000     1.65069     4.35384     0.00000     2.17692     3.30138     0.00000     1.65069     3.30138     1.65069     0.00000     3.30138     0.00000     1.65069     3.30138     0.16189     1.48880     4.35384     0.00000     2.17692     3.30138     0.90870     0.74199     3.30138     0.00000     1.65069     3.30138     0.00000     1.65069
     7      6     0.50861     0.06002     0.19428     1.10445     0.55222     0.00000     0.87676     0.00000     0.43838     0.87676     0.05961     0.37877     0.87676     0.00000     0.43838     0.87676     0.00000     0.43838     0.87676     0.00000     0.43838     0.87676     0.00000     0.43838     0.87676     0.00000     0.43838     0.87676     0.00000     0.43838
     7      7     1.69413     0.14813     0.69894     1.77753     0.88877     0.00000     1.84843     0.00000     0.92421     1.54383     0.00000     0.77191     1.69413     0.00000     0.84707     1.77753     0.00000     0.88877     1.54383     0.00000     0.77191     1.54383     0.00000     0.77191     1.40149     0.00000     0.70074     1.54383     0.00000     0.77191
