--------------------------------------------------------------------------------------------------------------------
Scenarios: 10
Turbines: 1
Cycles: 17
Time Limit: 600
-------------------------------------
Status: Unfinished
Profit = 14863.4
Gap: 36.5589 %
-------------------------------------
 Cycle Period    Power(1)   SoldDA(1)   SoldRT(1)    Power(2)   SoldDA(2)   SoldRT(2)    Power(3)   SoldDA(3)   SoldRT(3)    Power(4)   SoldDA(4)   SoldRT(4)    Power(5)   SoldDA(5)   SoldRT(5)    Power(6)   SoldDA(6)   SoldRT(6)    Power(7)   SoldDA(7)   SoldRT(7)    Power(8)   SoldDA(8)   SoldRT(8)    Power(9)   SoldDA(9)   SoldRT(9)    Power(10)   SoldDA(10)   SoldRT(10)
     6     11  2.40430  1.20215  0.00000  2.40430  1.20215  0.00000  2.40430  1.20215 -0.00000  2.40430  1.20215  0.00000  2.40430  1.20215  0.00000  2.40430  1.20215  0.00000  2.40430  1.20215 -0.00000  2.40430  1.20215  0.00000  2.40430  1.20215  0.00000  2.40430  1.20215  0.00000
     6     12  2.54629  0.00000  1.27315  2.54629  0.65884  0.61430  2.54629  0.00000  1.27315  2.54629  0.65884  0.61430  2.54629  0.00000  1.27315  2.54629  1.27315  0.00000  2.54629  0.00000  1.27315  2.54629  0.00000  1.27315  2.54629  0.00000  1.27315  2.54629  0.00000  1.27315
     7      6  0.51134  0.00000  0.25567  0.51134  0.00000  0.25567  0.51134  0.00000  0.25567  0.51134  0.22805  0.02762  0.51134  0.25567  0.00000  0.51134  0.25567  0.00000  0.51134  0.12205  0.13362  0.51134  0.01499  0.24068  0.51134  0.17451  0.08115  0.51134  0.25567 -0.00000
     7      7  0.70411  0.00000  0.35206  0.70411  0.00000  0.35206  0.70411  0.00000  0.35206  0.70411  0.00000  0.35206  0.70411  0.20139  0.15067  0.70411  0.35206  0.00000  0.70411  0.00000  0.35206  0.70411  0.00000  0.35206  0.70411  0.00000  0.35206  0.70411  0.28344  0.06862
     7      8  0.89902  0.00000  0.44951  0.89902  0.03033  0.41918  0.89902  0.00000  0.44951  0.89902  0.17114  0.27837  0.89902  0.44951  0.00000  0.89902  0.44951  0.00000  0.89902  0.41702  0.03249  0.89902  0.00000  0.44951  0.89902  0.30653  0.14298  0.89902  0.44951 -0.00000
     7      9  1.73807  0.00000  0.86904  1.73807  0.00000  0.86904  1.73807  0.00000  0.86904  1.73807  0.00000  0.86904  1.73807  0.00000  0.86904  1.73807  0.00000  0.86904  1.73807  0.00000  0.86904  1.73807  0.00000  0.86904  1.73807  0.00000  0.86904  1.73807  0.00000  0.86904
     7     10  2.00588  0.33431  0.66863  2.00588  0.58028  0.42265  2.00588  0.00000  1.00294  2.00588  1.00294  0.00000  2.00588  1.00294  0.00000  2.00588  1.00294  0.00000  2.00588  1.00294  0.00000  2.00588  1.00294  0.00000  2.00588  1.00294  0.00000  2.00588  1.00294 -0.00000
     7     11  2.20668  0.02456  1.07878  2.20668  0.00000  1.10334  2.20668  0.00000  1.10334  2.20668  1.10334  0.00000  2.20668  0.00314  1.10020  2.20668  0.93988  0.16346  2.20668  0.86254  0.24080  2.20668  0.00000  1.10334  2.20668  0.40262  0.70073  2.20668  1.10334  0.00000
     7     12  2.33233  0.02596  1.14020  2.33233  0.00000  1.16616  2.33233  0.00000  1.16616  2.33233  1.16616  0.00000  2.33233  0.00332  1.16284  2.33233  0.99340  0.17277  2.33233  0.91165  0.25451  2.33233  0.00000  1.16616  2.33233  0.42554  0.74062  2.33233  1.16616 -0.00000
     8      6  0.48566  0.05717  0.18567  0.48566  0.24283  0.00000  0.48566  0.02392  0.21891  0.48566  0.17526  0.06757  0.48566  0.11191  0.13092  0.48566  0.00000  0.24283  0.48566  0.02745  0.21538  0.48566  0.24283 -0.00000  0.48566  0.11242  0.13041  0.48566  0.24283  0.00000
